Ident,Type,Origin,Destination,Departure,Estimated Arrival Time,Estimated Time Enroute
 MAL8084,C208,Sudbury (Greater Sudbury) (CYSB),Sault Ste. Marie (CYAM),Fri 10:55AM EDT,Fri 11:59AM EDT,01:06
 ACO2120,C208,Mason City Muni (KMCW),Minneapolis/St Paul Intl (KMSP),Fri 09:54AM CDT,Fri 10:33AM CDT,00:50
 PCM8683,C208,Ontario Intl (KONT),Inyokern (KIYK),Fri 07:54AM PDT,Fri 08:54AM PDT,01:00
 APC1974,C208,Portland Intl (KPDX),Southwest Oregon Rgnl (KOTH),Fri 07:54AM PDT,Fri 09:04AM PDT,01:10
 N228DA,C208,Portland Intl (KPDX),,Fri 07:54AM PDT,,
 ACO2203,C208,St Louis Lambert Intl (KSTL),Fort Dodge Rgnl (KFOD),Fri 09:52AM CDT,Fri 12:23PM CDT,02:30
 N807FE,C208,Abilene Rgnl (KABI),Lubbock Smith Intl (KLBB),Fri 09:52AM CDT,Fri 10:52AM CDT,00:52
 CFS8775,C208,Phoenix Sky Harbor Intl (KPHX),Flagstaff Pulliam (KFLG),Fri 07:52AM MST,Fri 08:36AM MST,01:00
 CFS8799,C208,Spokane Intl (KGEG),Pangborn Memorial (KEAT),Fri 07:51AM PDT,Fri 08:41AM PDT,00:42
 PCM8654,C208,Ontario Intl (KONT),General Wm J Fox Airfield (KWJF),Fri 07:49AM PDT,Fri 08:39AM PDT,00:50
 FDY802,C208,Los Angeles Intl (KLAX),Imperial County (KIPL),Fri 07:48AM PDT,Fri 08:55AM PDT,01:26
 CFS8802,C208,Phoenix Sky Harbor Intl (KPHX),Yuma Intl (KNYL),Fri 07:48AM MST,Fri 08:53AM MST,00:57
 N773FE,C208,Kearney Rgnl (KEAR),Eppley Airfield (KOMA),Fri 09:48AM CDT,Fri 10:48AM CDT,01:00
 IRO8416,C208,Bangor Intl (KBGR),N Maine (KPQI),Fri 10:48AM EDT,Fri 11:36AM EDT,00:45
 CFS8667,C208,Portland Intl (KPDX),Roberts Field (KRDM),Fri 07:45AM PDT,Fri 08:40AM PDT,00:40
 N108AN,C208,Alamogordo Rgnl (KALM),Albuquerque Intl Sunport (KABQ),Fri 08:45AM MDT,Fri 09:53AM MDT,01:27
 N588PS,C208,Las Cruces Intl (KLRU),,Fri 08:42AM MDT,,
 CFS8686,C208,Portland Intl (KPDX),Southwest Oregon Rgnl (KOTH),Fri 07:42AM PDT,Fri 08:42AM PDT,00:59
 N720FX,C208,San Angelo Rgnl (KSJT),Austin-Bergstrom Intl (KAUS),Fri 09:42AM CDT,Fri 10:44AM CDT,00:53
 WMA517,C208,Congo Town (TZN / MYAK),Fort Lauderdale Executive (KFXE),Fri 10:41AM EDT,Fri 12:03PM EDT,00:56
 FDY445,C208,Dallas-Fort Worth Intl (KDFW),Memorial Field (KHOT),Fri 09:36AM CDT,Fri 10:58AM CDT,01:19
 N220EA,C208,Sebastian Muni (X26),,Fri 10:34AM EDT,,
 N208NR,C208,Mc Call Muni (KMYL),,Fri 08:31AM MDT,,
 N146WM,C208,"Near Congo Town, Andros",,Fri 10:31AM EDT,,
 FDY405,C208,Dallas-Fort Worth Intl (KDFW),Boone County (KHRO),Fri 09:29AM CDT,Fri 11:03AM CDT,01:47
 PCM8712,C208,Metropolitan Oakland Intl (KOAK),Visalia Muni (KVIS),Fri 07:27AM PDT,Fri 08:37AM PDT,01:10
 FDY155,C208,Lancaster (KLNS),Pittsburgh Intl (KPIT),Fri 10:26AM EDT,Fri 11:41AM EDT,01:16
 SUB1349,C208,Orlando Intl (KMCO),Savannah/Hilton Head Intl (KSAV),Fri 10:26AM EDT,Fri 11:59AM EDT,01:30
 N894FE,C208,San Angelo Rgnl (KSJT),Austin-Bergstrom Intl (KAUS),Fri 09:25AM CDT,Fri 10:33AM CDT,00:55
 N1293E,C208,Airglades (2IS),,Fri 10:24AM EDT,,
 SD1,C208,Wiener Neustadt West (LOXN),,Fri 04:23PM CEST,,
 CFS8678,C208,Portland Intl (KPDX),Rogue Valley Intl (KMFR),Fri 07:22AM PDT,Fri 08:54AM PDT,01:30
 BXR1524,C208,Sacramento Mather (KMHR),California Redwood Coast-Humboldt County (KACV),Fri 07:22AM PDT,Fri 08:39AM PDT,00:47
 FDY423,C208,Dallas-Fort Worth Intl (KDFW),S Arkansas Regional (KELD),Fri 09:20AM CDT,Fri 10:37AM CDT,01:16
 N8741D,C208,"Near Hobart, OK",,Fri 09:17AM CDT,,
 N463DB,C208,"Near Ely, MN",,Fri 09:14AM CDT,,
 N80JF,C208,Lake Wales Muni (X07),,Fri 10:13AM EDT,,
 N843SA,C208,Salt Lake City Intl (KSLC),,Fri 08:11AM MDT,,
 CPT8563,C208,Hector Intl (KFAR),Minot Intl (KMOT),Fri 09:11AM CDT,Fri 10:34AM CDT,01:27
 CPT8827,C208,Salt Lake City Intl (KSLC),Friedman Memorial (KSUN),Fri 08:08AM MDT,Fri 09:38AM MDT,01:23
 N282MW,C208,San Gabriel Valley (KEMT),Sacramento Executive (KSAC),Fri 07:07AM PDT,Fri 09:02AM PDT,01:58
 ACO2301,C208,St Louis Lambert Intl (KSTL),Mc Kellar-Sipes Rgnl (KMKL),Fri 09:06AM CDT,Fri 10:34AM CDT,01:35
 PCM8656,C208,Ontario Intl (KONT),Santa Maria (KSMX),Fri 07:06AM PDT,Fri 08:41AM PDT,01:10
 PCM8682,C208,Ontario Intl (KONT),Santa Maria (KSMX),Fri 06:54AM PDT,Fri 08:45AM PDT,01:20
 MAL8940,C208,Thunder Bay Int'l (Thunder Bay) (CYQT),Winnipeg Int'l (CYWG),Fri 09:44AM EDT,Fri 10:46AM CDT,02:31
 N593TC,C208,New Richmond Rgnl (KRNH),,Fri 08:29AM CDT,,
 N33NH,C208,Peter O Knight (KTPF),Destin Executive (KDTS),Fri 09:18AM EDT,Fri 10:37AM CDT,01:43
 N9421F,C208,"Near Atlanta, GA",,Fri 09:07AM EDT,,
 N593EX,C208,Denton Enterprise (KDTO),Chicago Executive (KPWK),Fri 06:37AM CDT,Fri 10:35AM CDT,04:05
 N208PC,C208,Near ,,Fri 10:48AM CEST,,
 N105VE,C208,"Near Linz, Upper Austria",,Fri 10:13AM CEST,,
