Ident,Type,Origin,Destination,Departure,Estimated Arrival Time,Estimated Time Enroute,Flight Plan,Estimated Time Enroute in Minutes
 N638AV,PC12,Summerville (KDYB),The Florida Keys Marathon Intl (KMTH),Fri 10:18AM EDT,Fri 12:33PM EDT,02:14,Available,134.0
 N614P,PC12,Elizabethton Muni (0A9),Republic (KFRG),Fri 10:12AM EDT,Fri 12:36PM EDT,02:21,Available,141.0
 CNS5,PC12,Quonset State (KOQU),Ocean City Muni (KOXB),Fri 10:06AM EDT,Fri 11:32AM EDT,01:31,Available,91.0
 CNS1022,PC12,Beverly Rgnl (KBVY),Delaware Coastal (KGED),Fri 10:05AM EDT,Fri 11:34AM EDT,01:25,Available,85.0
 XSN29,PC12,San Jose Int'l (KSJC),Eureka (88M),Fri 07:02AM PDT,Fri 11:20AM MDT,03:15,Available,195.0
 N877NG,PC12,Indianapolis Intl (KIND),Morristown Muni (KMMU),Fri 10:01AM EDT,Fri 12:08PM EDT,02:08,Available,128.0
 N650WC,PC12,Green-Warren Co Rgnl (KBWG),East Texas Rgnl (KGGG),Fri 09:00AM CDT,Fri 11:07AM CDT,02:04,Available,124.0
 CTF124,PC12,Phoenix Sky Harbor Intl (KPHX),Missoula Intl (KMSO),Fri 06:52AM MST,Fri 11:16AM MDT,03:27,Available,207.0
 N125LE,PC12,Dekalb-Peachtree (KPDK),Norfolk Intl (KORF),Fri 09:48AM EDT,Fri 11:37AM EDT,01:49,Available,109.0
 CNS119,PC12,Hancock County-Bar Harbor (KBHB),Washington Dulles Intl (KIAD),Fri 09:45AM EDT,Fri 12:17PM EDT,02:27,Available,147.0
 N535MK,PC12,Lehigh Valley Intl (KABE),,Fri 09:32AM EDT,,NULL,Not Available,
 N724HS,PC12,Fort Lauderdale Intl (KFLL),Tri-Cities (KTRI),Fri 09:29AM EDT,Fri 12:20PM EDT,02:49,Available,169.0
 N341WA,PC12,Martha's Vineyard (KMVY),Wilmington Intl (KILM),Fri 09:23AM EDT,Fri 11:49AM EDT,02:26,Available,146.0
 NCJ96,PC12,Anoka Co-Blaine (KANE),Punta Gorda (KPGD),Fri 08:09AM CDT,Fri 02:09PM EDT,04:56,Available,296.0
 N55WP,PC12,Johnson County Executive (KOJC),Portland Intl Jetport (KPWM),Fri 07:27AM CDT,Fri 12:44PM EDT,04:15,Available,255.0
 N404AP,PC12,Bentonville Municipal  (KVBT),Columbia County (1B1),Fri 06:54AM CDT,Fri 11:45AM EDT,03:50,Available,230.0
 N741NG,PC12,Peter O Knight (KTPF),Westerly State (KWST),Fri 07:42AM EDT,Fri 11:54AM EDT,03:55,Available,235.0
